country_name,country_text_id,COWcode,year,v2x_partipdem,pred,residual
Lesotho,LSO,570,2018,0.38,0.24909939970135345,0.13090060029864656
Bulgaria,BGR,355,2018,0.451,0.31831259207851015,0.13268740792148986
Namibia,NAM,565,2018,0.421,0.2876219390575796,0.13337806094242038
El Salvador,SLV,92,2018,0.398,0.2631919591239432,0.1348080408760568
Ecuador,ECU,130,2018,0.443,0.30631414854210437,0.13668585145789564
Sao Tome and Principe,STP,403,2018,0.405,0.2678827345134419,0.13711726548655812
Romania,ROU,360,2018,0.479,0.3304105336407134,0.1485894663592866
Timor-Leste,TLS,860,2018,0.419,0.27032718777930964,0.14867281222069034
Botswana,BWA,571,2018,0.414,0.24953978411645997,0.16446021588354
Sri Lanka,LKA,780,2018,0.39,0.22075709498274415,0.16924290501725586
Mauritius,MUS,590,2018,0.471,0.29699399315757785,0.17400600684242212
Mexico,MEX,70,2018,0.428,0.23599776787183194,0.19200223212816805
Argentina,ARG,160,2018,0.52,0.32131597511736215,0.19868402488263787
Croatia,HRV,344,2018,0.513,0.30476227275139717,0.20823772724860284
Israel,ISR,666,2018,0.447,0.22839020971308951,0.2186097902869105
Senegal,SEN,433,2018,0.441,0.20800500013583367,0.23299499986416633
Czechia,CZE,316,2018,0.535,0.2951617861816574,0.23983821381834264
Vanuatu,VUT,935,2018,0.478,0.2344289365181334,0.24357106348186658
Suriname,SUR,115,2018,0.471,0.22362509746080947,0.2473749025391905
Brazil,BRA,140,2018,0.484,0.23599776787183194,0.24800223212816805
Chile,CHL,155,2018,0.573,0.31983372365575424,0.2531662763442457
Trinidad and Tobago,TTO,52,2018,0.502,0.24736801694635557,0.25463198305364443
Spain,ESP,230,2018,0.601,0.3444430834000345,0.2565569165999655
South Africa,ZAF,560,2018,0.495,0.23599776787183194,0.2590022321281681
Slovenia,SVN,349,2018,0.61,0.350511823193692,0.259488176806308
Cyprus,CYP,352,2018,0.56,0.2889554962305548,0.2710445037694453
Japan,JPN,740,2018,0.541,0.24907010953681996,0.2919298904631801
